Company,ProductTypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,class_name
Lenovo,Notebook,Standard,1366_768,Intel_Celeron,Other,Flash_Storage,Intel,Windows_10,Light,Low
Lenovo,Gaming,Gaming,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
Dell,Notebook,Standard,1366_768,Intel_Core_i5,8GB,HDD,AMD,Windows_10,Heavy,Low
Dell,Ultrabook,Small,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Gaming,Other,Intel_Core_i3,4GB,HDD,Intel,Windows_10,Heavy,Low
Dell,Notebook,Gaming,Full_HD,Intel_Core_i7,8GB,HDD,AMD,Other,Heavy,Mid_Range
HP,Ultrabook,Small,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Other,Gaming,Standard,Full_HD,Intel_Core_i7,8GB,SSD_HDD,Nvidia,Windows_10,Medium,Mid_Range
Lenovo,Ultrabook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
Dell,Ultrabook,Small,Other,Intel_Core_i7,16GB,SSD,Intel,Windows_10,Light,High
Asus,Gaming,Standard,Full_HD,Intel_Core_i7,8GB,HDD,Nvidia,Windows_10,Medium,Mid_Range
Asus,Notebook,Standard,1366_768,Intel_Celeron,4GB,HDD,Intel,Other,Medium,Low
Other,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Light,High
Lenovo,Ultrabook,Small,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,1366_768,Intel_Core_i3,8GB,HDD,Intel,Windows_10,Heavy,Low
Dell,Ultrabook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,Mid_Range
Asus,Netbook,Small,1366_768,Intel_Other,Other,Flash_Storage,Intel,Windows_10,Light,Low
Dell,Notebook,Standard,Full_HD,Intel_Core_i5,4GB,SSD,AMD,Other,Heavy,Low
Other,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Nvidia,Windows_10,Medium,Mid_Range
Other,Ultrabook,Standard,Full_HD_Touchscreen,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Dell,Ultrabook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Other,Light,Mid_Range
HP,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Medium,Low
HP,Notebook,Standard,Full_HD,Intel_Core_i3,4GB,SSD_HDD,AMD,Windows_10,Medium,Low
Other,Gaming,Standard,Full_HD,Intel_Core_i7,8GB,HDD,Nvidia,Windows_10,Medium,Mid_Range
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
Dell,Ultrabook,Small,Full_HD,Intel_Core_i5,4GB,SSD,AMD,Windows_10,Light,Mid_Range
Other,Notebook,Standard,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,Mid_Range
Lenovo,Notebook,Standard,1366_768,Intel_Celeron,4GB,HDD,Intel,Windows_10,Medium,Low
HP,Notebook,Gaming,Full_HD,Intel_Core_i7,8GB,SSD,Nvidia,Windows_10,Heavy,Mid_Range
Lenovo,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD,Nvidia,Windows_10,Heavy,High
Dell,Ultrabook,Small,Other,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,Flash_Storage,AMD,Windows_10,Heavy,Low
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Nvidia,Other,Medium,Low
Asus,Notebook,Standard,Full_HD,Intel_Core_i3,4GB,SSD,Intel,Windows_10,Medium,Low
Other,Ultrabook,Small,Other,Intel_Core_i5,8GB,Flash_Storage,Intel,Other,Light,Mid_Range
Other,Ultrabook,Small,1366_768,Intel_Core_i5,4GB,Flash_Storage,Intel,Other,Light,Mid_Range
Dell,Gaming,Gaming,Full_HD,Intel_Core_i7,Other,SSD_HDD,Nvidia,Windows_10,Heavy,High
Acer,Notebook,Gaming,Other,Intel_Core_i3,8GB,HDD,Nvidia,Windows_10,Heavy,Low
HP,Notebook,Standard,Full_HD,Intel_Core_i5,4GB,SSD,Intel,Windows_10,Medium,Mid_Range
Acer,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Nvidia,Windows_10,Medium,Mid_Range
Dell,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,HDD,AMD,Windows_10,Heavy,Low
Dell,Ultrabook,Small,1366_768,Intel_Core_i3,4GB,SSD,Intel,Other,Light,Mid_Range
Asus,Notebook,Standard,1366_768,Intel_Celeron,4GB,Flash_Storage,Intel,Windows_10,Light,Low
Lenovo,Ultrabook,Standard,Other,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
HP,Notebook,Gaming,Other,Intel_Core_i3,8GB,SSD,Intel,Windows_10,Heavy,Low
Acer,Notebook,Standard,1366_768,Intel_Celeron,4GB,HDD,Intel,Windows_10,Medium,Low
Other,Netbook,Small,Other,Intel_Other,4GB,Flash_Storage,Intel,Other,Light,Low
Asus,Notebook,Standard,1366_768,Intel_Core_i3,4GB,HDD,Intel,Windows_10,Medium,Low
HP,Netbook,Small,Full_HD_Touchscreen,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
HP,Notebook,Standard,1366_768,Intel_Core_i5,8GB,SSD,AMD,Windows_10,Medium,Low
Lenovo,Notebook,Gaming,Other,Intel_Core_i5,8GB,HDD,Nvidia,Other,Heavy,Low
HP,Notebook,Gaming,Full_HD,AMD,4GB,HDD,AMD,Windows_10,Heavy,Low
Other,Notebook,Standard,Full_HD,Intel_Other,Other,Flash_Storage,Intel,Windows_10,Light,Low
HP,Notebook,Small,Full_HD,Intel_Core_i5,4GB,HDD,Intel,Windows_10,Light,Low
Lenovo,Notebook,Standard,1366_768,Intel_Core_i3,4GB,SSD,Intel,Windows_10,Medium,Low
Dell,Gaming,Gaming,Other,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
Other,Gaming,Standard,Full_HD,Intel_Core_i5,8GB,SSD_HDD,Nvidia,Windows_10,Medium,Mid_Range
Asus,Netbook,Small,Full_HD,Intel_Other,8GB,Flash_Storage,Intel,Other,Light,Mid_Range
HP,Notebook,Small,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,Mid_Range
Asus,Notebook,Standard,1366_768,Intel_Other,4GB,HDD,Intel,Windows_10,Heavy,Low
Lenovo,Ultrabook,Standard,Full_HD,Intel_Core_i7,Other,SSD,Nvidia,Other,Light,High
HP,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Other,Light,High
